T logg
5800 1.5
5800 2.0
5800 2.5
5800 3.0
5800 3.5
5800 4.0
5800 4.5
5800 5.0
5800 5.5
5800 6.0
5900 0.5
5900 1.0
5900 1.5
5900 2.0
5900 2.5
5900 3.0
5900 3.5
5900 4.0
5900 4.5
5900 5.0
5900 5.5
5900 6.0
6000 1.0
6000 1.5
6000 2.0
6000 2.5
6000 3.0
6000 3.5
6000 4.0
6000 4.5
6000 5.0
6000 5.5
6000 6.0
6100 1.0
6100 1.5
6100 2.0
6100 2.5
6100 3.0
6100 3.5
6100 4.0
6100 4.5
6100 5.0
6100 5.5
6100 6.0
6200 1.0
6200 1.5
6200 2.0
6200 2.5
6200 3.0
6200 3.5
6200 4.0
6200 4.5
6200 5.0
6200 5.5
6200 6.0
6300 1.0
6300 1.5
6300 2.0
6300 2.5
6300 3.0
6300 3.5
6300 4.0
6300 4.5
6300 5.0
6300 5.5
6300 6.0
6400 1.0
6400 1.5
6400 2.0
6400 2.5
6400 3.0
6400 3.5
6400 4.0
6400 4.5
6400 5.0
6400 5.5
6400 6.0
6500 1.0
6500 1.5
6500 2.0
6500 2.5
6500 3.0
6500 3.5
6500 4.0
6500 4.5
6500 5.0
6500 5.5
6500 6.0
6600 1.0
6600 1.5
6600 2.0
6600 2.5
6600 3.0
6600 3.5
6600 4.0
6600 4.5
6600 5.0
6600 5.5
6600 6.0
6700 1.0
6700 1.5
6700 2.0
6700 2.5
6700 3.0
6700 3.5
6700 4.0
6700 4.5
6700 5.0
6700 5.5
6700 6.0
6800 1.0
6800 1.5
6800 2.0
6800 2.5
6800 3.0
6800 3.5
6800 4.0
6800 4.5
6800 5.0
6800 5.5
6800 6.0
6900 1.0
6900 1.5
6900 2.0
6900 2.5
6900 3.0
6900 3.5
6900 4.0
6900 4.5
6900 5.0
6900 5.5
6900 6.0
7000 1.0
7000 1.5
7000 2.0
7000 2.5
7000 3.0
7000 3.5
7000 4.0
7000 4.5
7000 5.0
7000 5.5
7000 6.0
7200 1.0
7200 1.5
7200 2.0
7200 2.5
7200 3.0
7200 3.5
7200 4.0
7200 4.5
7200 5.0
7200 5.5
7200 6.0
7400 1.0
7400 1.5
7400 2.0
7400 2.5
7400 3.0
7400 3.5
7400 4.0
7400 4.5
7400 5.0
7400 5.5
7400 6.0
7600 1.0
7600 1.5
7600 2.0
7600 2.5
7600 3.0
7600 3.5
7600 4.0
7600 4.5
7600 5.0
7600 5.5
7600 6.0
7800 1.0
7800 1.5
7800 2.0
7800 2.5
7800 3.0
7800 3.5
7800 4.0
7800 4.5
7800 5.0
7800 5.5
7800 6.0
8000 1.0
8000 1.5
8000 2.0
8000 2.5
8000 3.0
8000 3.5
8000 4.0
8000 4.5
8000 5.0
8000 5.5
8000 6.0
8200 1.0
8200 1.5
8200 2.0
8200 2.5
8200 3.0
8200 3.5
8200 4.0
8200 4.5
8200 5.0
8200 5.5
8200 6.0
8400 1.5
8400 2.0
8400 2.5
8400 3.0
8400 3.5
8400 4.0
8400 4.5
8400 5.0
8400 5.5
8400 6.0
8600 1.5
8600 2.0
8600 2.5
8600 3.0
8600 3.5
8600 4.0
8600 4.5
8600 5.0
8600 5.5
8600 6.0
8800 1.5
8800 2.0
8800 2.5
8800 3.0
8800 3.5
8800 4.0
8800 4.5
8800 5.0
8800 5.5
8800 6.0
9000 1.5
9000 2.0
9000 2.5
9000 3.0
9000 3.5
9000 4.0
9000 4.5
9000 5.0
9000 5.5
9000 6.0
9200 1.5
9200 2.0
9200 2.5
9200 3.0
9200 3.5
9200 4.0
9200 4.5
9200 5.0
9200 5.5
9200 6.0
9400 2.0
9400 2.5
9400 3.0
9400 3.5
9400 4.0
9400 4.5
9400 5.0
9400 5.5
9400 6.0
9600 2.0
9600 2.5
9600 3.0
9600 3.5
9600 4.0
9600 4.5
9600 5.0
9600 5.5
9600 6.0
9800 2.0
9800 2.5
9800 3.0
9800 3.5
9800 4.0
9800 4.5
9800 5.0
9800 5.5
9800 6.0
10000 2.0
10000 2.5
10000 3.0
10000 3.5
10000 4.0
10000 4.5
10000 5.0
10000 5.5
10000 6.0
10200 2.0
10200 2.5
10200 3.0
10200 3.5
10200 4.0
10200 4.5
10200 5.0
10200 5.5
10200 6.0
10400 2.0
10400 2.5
10400 3.0
10400 3.5
10400 4.0
10400 4.5
10400 5.0
10400 5.5
10400 6.0
10600 2.0
10600 2.5
10600 3.0
10600 3.5
10600 4.0
10600 4.5
10600 5.0
10600 5.5
10600 6.0
10800 2.0
10800 2.5
10800 3.0
10800 3.5
10800 4.0
10800 4.5
10800 5.0
10800 5.5
10800 6.0
11000 2.0
11000 2.5
11000 3.0
11000 3.5
11000 4.0
11000 4.5
11000 5.0
11000 5.5
11000 6.0
11200 2.0
11200 2.5
11200 3.0
11200 3.5
11200 4.0
11200 4.5
11200 5.0
11200 5.5
11200 6.0
11400 2.0
11400 2.5
11400 3.0
11400 3.5
11400 4.0
11400 4.5
11400 5.0
11400 5.5
11400 6.0
11600 2.0
11600 2.5
11600 3.0
11600 3.5
11600 4.0
11600 4.5
11600 5.0
11600 5.5
11600 6.0
