1   0.2776
2   0.2796
3   0.2474 
4   0.1433 
5   0.1115 
6   0.0996 
7   0.1104 
8   0.09444
9   0.09388
10  0.07881
11  0.08866
12  0.07738
13  0.06231
14  0.05269
15  0.06444
16  0.05028
17  0.06084
18  0.03769
19  0.03226
20  0.04065
21  0.04086
22  0.03558
23  0.03342
24  0.03535
25  0.03537
26  0.0319 
27  0.02978
28  0.03238
29  0.02876
30  0.03112
31  0.02654
32  0.02673
33  0.02355
34  0.02655
35  0.02485
36  0.02273
37  0.02278
38  0.02359
39  0.02271
40  0.02765
41  0.02834
42  0.03504
43  0.02595
44  0.02519
45  0.02563
46  0.02838
47  0.03341
48  0.04117
49  0.03069
50  0.04277
51  0.0546 
