   line           element
   5006.546       N II       E1         3D-3Fo           3-4       166678.44 -   186652.29
   5006.5542      Ne I       E1   3/2[3/2]-1/2[5/2]o     2-3       150315.86 -   170289.68
   5006.6440      Ne I       E1   3/2[3/2]-1/2[5/2]o     2-2       150315.86 -   170289.32
   5006.696       N II       E1         5P-5Po           2-2       205652.72 -   225625.97
   5006.709       Ni III     E1         5F-5Go           3-4       181996.70 -   201969.90
   5006.7342      Ne I       E1   3/2[3/2]-1/2[3/2]o     2-2       150315.86 -   170288.96
   5006.8         Si XIII    E1        3Po-3D            0-1     17578029.00 - 17598002.00
   5007.017       Ca III     E1   1/2[1/2]-1/2[1/2]o     1-0       344257.92 -   364229.89
   5007.055       Ni II      E1         4H-3[4]o      11/2-9/2     100309.29 -   120281.11
   5007.072       Ni III     E1         5F-5Go           5-4       181998.15 -   201969.90
   5007.1086      Fe I       E1       z3Do-e3D           3-3        31322.61 -    51294.22
   5007.2823      Ar II      E1      2[3]o-2F          5/2-7/2     194861.35 -   214832.27
   5007.40        Ar I       E1   3/2[1/2]-3/2[3/2]o     0-1       107054.27 -   127024.70
   5007.4549      Si I       E1        1Po-(3/2,3/2)     1-2        40991.89 -    60962.11
   5007.489       Ni II      E1         2H-4[5]o      11/2-11/2     98969.44 -   118939.53
   5007.5075      Fe I       E1       y3Do-3D            1-1        38995.73 -    58965.75
   5007.5150      Fe I       E1       z7Fo-e7D           5-5        22845.87 -    42815.85
   5008.          Ar IX      E1        3Do-3D            3-3      2829670.00 -  2849640.00
   5008.123       S II       E1        4So-4P          3/2-5/2     131028.85 -   150996.41
   5008.171       C I        E1         3D-3Fo           3-3        69744.03 -    89711.40
   5008.238       Fe II      E1         6D-2[4]o       7/2-9/2      83713.54 -   103680.64
   5008.38        Ar I       E1   3/2[3/2]-3/2[3/2]o     2-1       106237.55 -   126204.10
   5008.66        Ar I       E1   3/2[1/2]-3/2[3/2]o     0-1       107054.27 -   127019.70
   5008.6713      Fe I       E1       y5Do-g5F           4-5        33095.94 -    53061.31
   5008.725       N II       E1         3S-3Po           1-2       168892.01 -   188857.17
   5008.844       Fe II      E1         6D-2[5]o       9/2-11/2     83726.36 -   103691.05
   5009.04        Mg III     E1   1/2[3/2]-1/2[5/2]o     2-2       564664.60 -   584628.50
   5009.136       Fe II      E1        e6F-4[3]o       9/2-7/2      82978.68 -   102942.20
   5009.18        N I        E1        4Po-4P          5/2-3/2      95532.15 -   115495.50
   5009.206       Fe II      E1         6D-2[3]o       7/2-7/2      83713.54 -   103676.78
   5009.207       Ni II      E1         4H-3[5]o      11/2-9/2     100309.29 -   120272.53
   5009.235       Ni III     E1         5P-5Do           3-2       182524.69 -   202487.82
   5009.47        N III      E1        2Do-2D          5/2-*       334568.30 -   354530.50
   5009.495       Ni II      E1        4Go-4F          9/2-9/2     113753.04 -   133715.13
   5009.731       Ni II      E1         4H-3[5]o      11/2-11/2    100309.29 -   120270.44
   5009.99        Ar I       E1   3/2[1/2]-3/2[3/2]o     0-1       107054.27 -   127014.40
   5010.336       Ca III     E1   3/2[1/2]-3/2[1/2]o     1-1       339198.09 -   359156.83
   5010.41        Ar I       E1   3/2[1/2]-3/2[1/2]o     0-1       107054.27 -   127012.70
   5010.419       Fe II      E1        e6F-3[0]o       3/2-1/2      83459.67 -   103418.08
   5010.462       Fe II      E1        e6F-3[1]o       3/2-3/2      83459.67 -   103417.91
   5010.628       Ni II      E1         2H-4[5]o      11/2-9/2      98969.44 -   118927.02
   5010.69        Ni III     E1        5Fo-5G            2-3       208005.70 -   227963.02
   5010.73143     Ar II      E1         4P-4Po         3/2-5/2     135086.00 -   155043.16
   5010.916       Ca III     E1   3/2[7/2]-3/2[9/2]o     3-4       370515.36 -   390471.79
   5010.964       S II       E1         4P-4Po         3/2-1/2     109831.59 -   129787.83
   5011.07        N I        E1        4Po-4P          3/2-1/2      95493.69 -   115449.50
   5011.313       Ni II      E1         4F-0[3]o       3/2-5/2     116167.76 -   136122.61
   5011.4200      Ni I       E1        5Fo-5F            1-2        30392.00 -    50346.43
   5011.457       Fe II      E1         6D-2[4]o       9/2-9/2      83726.36 -   103680.64
   5011.49        Ar I       E1   3/2[1/2]-3/2[3/2]o     0-1       107054.27 -   127008.40
   5011.665       Fe II      E1        e4G-4Ho        11/2-11/2     84863.35 -   104816.80
   5011.6669      Fe I       E1       y5Po-5S            3-2        36766.96 -    56720.40
   5011.959       Ni II      E1         2G-2Go         7/2-9/2     101740.27 -   121692.55
   5011.97        Ar I       E1   3/2[1/2]-3/2[1/2]o     0-1       107054.27 -   127006.50
   5012.007       O II       E1      F[3]o-2D          7/2-5/2     256123.23 -   276075.32
   5012.019       N II       E1        3Po-3S            1-1       148939.97 -   168892.01
   5012.3359      Ni I       E1        3Fo-5/2[5/2]      3-3        29320.76 -    49271.54
   5012.4005      Ne I       E1   3/2[1/2]-3/2[3/2]o     0-1       150917.43 -   170867.95
   5012.427       Fe II      E1         6D-2[3]o       9/2-7/2      83726.36 -   103676.78
   5012.57        N II       E1         3P-3Do           2-1       211827.47 -   231777.30
   5012.6426      Fe I       E1       y5Do-h5D           1-2        34017.10 -    53966.66
   5012.648       O II       E1      F[3]o-2D          5/2-5/2     256125.79 -   276075.32
   5012.712       N II       E1         5P-5Po           2-1       205652.72 -   225602.00
   5012.7387      Ar II      E1      2[3]o-2F          7/2-7/2     194883.09 -   214832.27
   5012.778       Ni II      E1         4H-3[4]o       9/2-9/2     100332.09 -   120281.11
   5013.024       S II       E1         2S-2Po         1/2-3/2     136328.79 -   156276.83
   5013.10        Ar I       E1   3/2[1/2]-3/2[3/2]o     0-1       107054.27 -   127002.00
   5013.174       Fe II      E1         6D-2[2]o       7/2-5/2      83713.54 -   103660.98
   5013.3061      Fe I       E1       x5Do-1/2[3/2]      2-1        40231.33 -    60178.25
   5013.343       Ni II      E1         2F-2[3]o       5/2-5/2     101247.37 -   121194.14
   5013.391       Fe II      E1        e6F-3[2]o       3/2-5/2      83459.67 -   103406.25
   5013.421       Ni III     E1         5D-5Do           1-2       185116.05 -   205062.51
   5013.433       N II       E1         5P-5Po           3-3       205723.31 -   225669.72
   5013.4662      Fe I       E1        a5F-z5Fo          5-5         6928.27 -    26874.55
   5013.68        Ar I       E1   3/2[1/2]-3/2[1/2]o     0-1       107054.27 -   126999.70
   5013.800       Ni II      E1         2F-2[3]o       5/2-7/2     101247.37 -   121192.32
   5013.813       Ni II      E1         2H-4[4]o      11/2-9/2      98969.44 -   118914.34
   5013.8392      Fe I       E1        c3F-3Fo           3-3        33412.71 -    53357.51
   5013.84        S IV       E1        4Do-4D          3/2-1/2     336297.00 -   356241.80
   5013.8407      Ni I       E1        5Fo-5F            3-3        29832.78 -    49777.57
   5014.13        Ar I       E1   3/2[3/2]-3/2[3/2]o     2-1       106237.55 -   126181.20
   5014.8213      Fe I       E1        b3D-v3Do          2-1        29356.74 -    49297.63
   5014.885       Ar I       E1   3/2[3/2]-3/2[3/2]o     2-2       106237.55 -   126178.19
   5014.91        Ar I       E1   3/2[1/2]-3/2[3/2]o     0-1       107054.27 -   126994.80
   5014.934       Ni II      E1         4H-3[5]o       9/2-9/2     100332.09 -   120272.53
   5015.234       Ca III     E1   3/2[7/2]-3/2[9/2]o     4-5       370533.07 -   390472.32
   5015.365       Ni III     E1         3F-3Go           4-3       184037.62 -   203976.35
   5015.367       Ca III     E1   3/2[7/2]-3/2[9/2]o     4-4       370533.07 -   390471.79
   5015.440       S II       E1         2P-2Po         3/2-3/2     113461.54 -   133399.97
   5015.460       Ni II      E1         4H-3[5]o       9/2-11/2    100332.09 -   120270.44
   5015.47        Mg III     E1   3/2[5/2]-3/2[3/2]o     2-2       562136.10 -   582074.40
   5015.57        Ar I       E1   3/2[1/2]-3/2[1/2]o     0-1       107054.27 -   126992.20
   5015.61        N II       E1         3P-3Do           1-2       211779.25 -   231717.00
   5015.765       Ca III     E1        1Do-3/2[7/2]      2-3       328090.99 -   348028.13
   5015.870       Ni II      E1         4H-3[4]o       9/2-7/2     100332.09 -   120268.81
   5015.898       Ca III     E1   3/2[7/2]-3/2[7/2]o     3-3       370515.36 -   390451.97
   5015.931       S II       E1         4F-0[3]o       9/2-*       167269.15 -   187206. 
   5016.019       Ni II      E1         4F-2[3]o       3/2-5/2     101258.01 -   121194.14
   5016.2383      Fe I       E1         3P-3Do           2-3        40871.41 -    60806.67
