   line      element
   501.5287  Co I    
   501.5299  Ti I    
   501.5309  W I     
   501.5458  Nd II   
   501.5521  Fe II   
   501.5558  Pr II   
   501.5579  V I     
   501.5631  Mn I    
   501.5833  Cr I    
   501.5913  Cr II   
   501.5917  P I     
   501.5979  Mn I    
   501.6084  Co I    
   501.6153  Mo I    
   501.6162  Ti I    
   501.6220  Cr II   
   501.6220  Mn I    
   501.6381  Mn I    
   501.6476  Fe I    
   501.6479  Ce I    
   501.6480  Ce I    
   501.6548  Ce I    
   501.6605  Sm II   
   501.6615  V II    
   501.6629  Cu I    
   501.6655  Fe I    
   501.6673  V I     
   501.6684  Ca I    
   501.6709  Mn II   
   501.6731  V II    
   501.6761  Mo I    
   501.6767  Sc I    
   501.6816  Fe II   
   501.6845  Mo I    
   501.6911  Ti I    
   501.6975  Mn I    
   501.6978  Co II   
   501.7020  Ti I    
   501.7023  Ca I    
   501.7086  C I     
   501.7132  Fe II   
   501.7157  Mn I    
   501.7237  Mn I    
   501.7254  Th II   
   501.7371  Cr I    
   501.7381  Cr I    
   501.7383  Co I    
   501.7421  V II    
   501.7439  Mn I    
   501.7477  Sc I    
   501.7568  Ni I    
   501.7572  Mn I    
   501.7603  Ti I    
   501.7638  Mn I    
   501.7736  Nb I    
   501.7761  C I     
   501.7822  V I     
   501.7874  Tm II   
   501.7900  Mn I    
   501.7946  Ti I    
   501.7980  Dy II   
   501.8034  Fe I    
   501.8101  C I     
   501.8129  Cr I    
   501.8154  Cr I    
   501.8167  Mn I    
   501.8182  Hf I    
   501.8255  Co I    
   501.8278  Ni I    
   501.8350  Fe I    
   501.8391  Sc I    
   501.8420  Fe I    
   501.8440  Fe II   
   501.8471  Mn I    
   501.8590  Pr I    
   501.8669  Fe II   
   501.8837  Cr II   
   501.9152  Mn I    
   501.9160  Fe I    
   501.9164  V I     
   501.9172  Cr I    
   501.9246  Fe I    
   501.9318  Cr I    
   501.9324  Th II   
   501.9354  Gd II   
   501.9360  Ni I    
   501.9379  Cr II   
   501.9386  Mn I    
   501.9462  Fe II   
   501.9500  V I     
   501.9512  Nb I    
   501.9660  Fe I    
   501.9732  Fe I    
   501.9739  Pr I    
   501.9842  Mo I    
   501.9852  V II    
   501.9880  Ti I    
   501.9971  Ca II   
   502.0028  Ti I    
   502.0074  Sc I    
   502.0129  Ca I    
   502.0137  Sc I    
   502.0183  V I     
   502.0231  Sc I    
   502.0265  Mo I    
   502.0273  Ti I    
   502.0347  Gd II   
   502.0373  Gd I    
   502.0399  Fe II   
   502.0454  Fe I    
   502.0536  Sc I    
   502.0546  Th II   
   502.0613  Ca I    
   502.0619  Ni II   
   502.0652  Cr I    
   502.0663  Fe I    
   502.0672  V II    
   502.0715  Mn I    
   502.0754  Fe I    
   502.0778  Sc I    
   502.0778  Sc I    
   502.0816  Fe I    
   502.0843  Sc I    
   502.1086  Ti I    
   502.1138  Ca II   
   502.1222  Mo I    
   502.1297  Co I    
   502.1365  Co II   
   502.1439  Ce I    
   502.1486  Cr II   
   502.1496  Cr II   
   502.1512  Sc I    
   502.1602  Fe I    
   502.1630  V I     
   502.1673  Ti II   
   502.1675  Fe I    
   502.1718  Cr I    
   502.1733  Hf I    
   502.1834  Mn I    
   502.1887  V II    
   502.1905  Cr I    
   502.1910  Ti I    
   502.1933  Fe I    
   502.2049  Ti II   
   502.2082  Mn I    
   502.2114  Cr II   
   502.2119  Dy I    
   502.2127  Co I    
   502.2236  Fe I    
   502.2279  Ti I    
   502.2290  Mo I    
   502.2334  P I     
   502.2377  V II    
   502.2380  Fe I    
   502.2410  Co II   
   502.2583  Fe II   
   502.2648  Nd I    
   502.2672  V I     
   502.2785  Fe I    
   502.2834  Mn I    
   502.2846  Ti II   
   502.2867  Ce II   
   502.2871  Ti I    
   502.2909  Eu I    
   502.2931  Fe II   
   502.3043  Cr I    
   502.3056  Cr I    
   502.3122  Gd II   
   502.3157  Mn I    
   502.3198  Fe I    
   502.3288  Mn II   
   502.3332  Ti I    
   502.3467  Mn I    
   502.3489  Fe I    
   502.3500  Sm II   
   502.3540  Cr I    
   502.3560  V I     
   502.3571  Cr I    
   502.3582  Mo I    
   502.3629  Cr I    
   502.3669  V II    
   502.3740  Fe I    
   502.3745  Mn I    
   502.3752  Ni II   
   502.3849  C I     
   502.3885  Ti I    
   502.3886  Sc I    
   502.4134  V I     
   502.4166  Sc I    
   502.4166  Sc I    
   502.4227  V II    
   502.4310  Cr I    
   502.4515  Co I    
   502.4520  Cr II   
   502.4530  Dy I    
   502.4789  Fe I    
   502.4842  Ti I    
   502.4886  Co III  
   502.4916  C I     
   502.4961  Fe I    
   502.5043  Cr I    
   502.5080  Fe I    
   502.5126  Cr I    
   502.5151  Ce I    
   502.5270  Ca I    
   502.5318  Fe I    
   502.5390  Mo I    
   502.5553  Cr I    
   502.5553  V I     
   502.5563  Ti I    
   502.5585  Ti I    
   502.5614  V I     
   502.5669  V II    
   502.5732  Fe I    
   502.5831  Cr I    
   502.5851  Mn I    
   502.5851  Mn I    
   502.5899  Ti I    
   502.6154  Mn I    
   502.6163  Ca I    
   502.6182  Ru I    
   502.6250  Cr I    
   502.6379  Nb I    
   502.6407  Mo I    
   502.6420  V I     
   502.6474  Ni I    
   502.6498  V I     
   502.6637  Sc I    
   502.6900  Mn I    
   502.6981  Pr I    
   502.7001  Cr I    
   502.7120  Fe I    
   502.7136  Nd I    
   502.7226  Fe I    
   502.7234  Mn I    
   502.7287  Co I    
   502.7299  Fe I    
   502.7339  Ce II   
   502.7341  Fe I    
   502.7384  U I     
   502.7385  Ti I    
   502.7598  Cr III  
   502.7643  V I     
   502.7658  Cr I    
   502.7679  Cr I    
   502.7691  Ni I    
   502.7694  Ti I    
   502.7756  Fe I    
   502.7785  V I     
   502.7833  Fe I    
   502.7847  Nd II   
   502.7858  V I     
   502.7878  Dy I    
   502.7881  Cr I    
   502.8005  Fe I    
   502.8025  Cr I    
   502.8076  V I     
   502.8086  Co II   
   502.8126  Fe I    
   502.8162  Ru I    
   502.8217  Cr I    
   502.8255  Cr I    
   502.8296  V II    
   502.8326  Er I    
   502.8331  Ce I    
   502.8450  Sm II   
   502.8580  Ti I    
   502.8597  Cr I    
   502.8606  Th II   
   502.8667  Co I    
   502.8683  Ti I    
   502.8781  V I     
   502.8814  V I     
   502.8841  Ca I    
   502.8905  Er II   
   502.8976  V I     
   502.8979  Cr I    
   502.8994  Ti II   
   502.8994  Mo I    
   502.9016  V I     
   502.9067  Co I    
   502.9264  Cr I    
   502.9303  Mo I    
   502.9335  V I     
   502.9376  Mn II   
   502.9434  Sc I    
   502.9441  Nd I    
   502.9487  Cr I    
   502.9555  Eu I    
   502.9586  Co II   
   502.9621  Fe I    
   502.9630  Th II   
   502.9796  Mn I    
   502.9875  Ti I    
   502.9937  Sc I    
   502.9966  Ti I    
   503.0026  Mn I    
   503.0054  Ti I    
   503.0117  Co I    
   503.0127  Nb I    
   503.0163  Mn II   
   503.0244  Sc I    
   503.0328  Ti I    
   503.0636  Mn I    
   503.0639  Ce I    
   503.0755  Mo I    
   503.0765  Ti I    
   503.0779  Fe I    
   503.0786  Fe I    
   503.0897  Cr I    
   503.0955  Cr II   
   503.0975  Mn I    
   503.0993  Cr I    
   503.1021  Sc II   
   503.1039  Fe I    
   503.1041  Fe I    
   503.1074  V I     
   503.1112  Fe I    
   503.1183  Sm II   
   503.1213  Fe I    
   503.1226  Sc I    
   503.1273  Gd II   
   503.1274  V I     
   503.1320  Cr I    
   503.1337  Cr II   
   503.1353  Ti II   
   503.1515  Cr I    
   503.1557  Gd II   
   503.1722  Mn I    
   503.1732  Mn II   
   503.1767  Ce I    
   503.1768  V II    
   503.1834  Os I    
   503.1854  Mn II   
   503.1915  Fe I    
   503.1940  Sc II   
   503.1940  Sc II   
   503.1986  Ce II   
   503.2072  Cr I    
   503.2329  Ca I    
   503.2330  Co II   
   503.2366  Mo I    
   503.2487  Cr I    
   503.2556  Cr I    
   503.2640  Si I    
   503.2652  Ti I    
   503.2695  Sc I    
   503.2723  Ni I    
   503.2832  Mn II   
   503.2862  Sc I    
   503.2865  Co I    
   503.2948  V I     
   503.3009  Dy I    
   503.3192  V I     
   503.3205  Fe I    
   503.3235  Co I    
   503.3321  Co I    
   503.3364  Pr I    
   503.3379  Ti II   
   503.3382  Cr I    
   503.3507  Nd II   
   503.3539  V II    
   503.3549  Eu I    
   503.3848  Sc I    
   503.3853  Ce I    
   503.4031  Co I    
   503.4112  Cr II   
   503.4160  Mo I    
   503.4211  Cr I    
   503.4218  Tm II   
   503.4254  Cu I    
   503.4266  Cr II   
   503.4411  Pr II   
   503.4462  Fe I    
   503.4677  Cr I    
   503.4788  Ti I    
   503.4857  Fe I    
   503.4867  Mn II   
   503.4923  Co I    
   503.5032  Fe I    
   503.5103  V I     
   503.5174  Cr I    
   503.5194  Cr I    
   503.5298  V I     
   503.5303  V II    
   503.5357  Ni I    
   503.5417  Mn I    
   503.5508  Ti I    
   503.5553  Fe II   
   503.5742  V II    
   503.5808  Ni I    
   503.5907  Ti I    
   503.5946  Er I    
   503.5967  Ni I    
   503.6109  Ti I    
   503.6303  Mn I    
   503.6336  Cr I    
   503.6367  Fe II   
   503.6453  Cr I    
   503.6468  Ti I    
   503.6529  V II    
   503.6639  Ce I    
   503.6673  Cr I    
