   line      element
   506.6372  Sc I    
   506.6567  V II    
   506.6670  Tm I    
   506.6777  Th I    
   506.6788  Co II   
   506.6826  Nd II   
   506.6867  Sm II   
   506.7044  Gd II   
   506.7151  Fe I    
   506.7166  Ce II   
   506.7227  V I     
   506.7265  Fe I    
   506.7286  Yb II   
   506.7319  Sc I    
   506.7381  Cr I    
   506.7424  Ti I    
   506.7512  Co I    
   506.7543  Mn II   
   506.7606  Ti I    
   506.7671  Cr I    
   506.7725  Cr I    
   506.7772  Ni I    
   506.7774  Co I    
   506.7790  Yb I    
   506.7792  Cr II   
   506.7805  Mn I    
   506.7869  Ta I    
   506.7890  La I    
   506.7905  Ni I    
   506.7944  Eu I    
   506.7974  Th I    
   506.8003  V I     
   506.8005  Cr I    
   506.8038  Mo I    
   506.8072  Co I    
   506.8147  Mn I    
   506.8290  Cr I    
   506.8315  Ti I    
   506.8604  Sc I    
   506.8756  Ti II   
   506.8765  Fe I    
   506.8785  Ni I    
   506.8802  Sc I    
   506.8833  Cr I    
   506.8838  Sc I    
   506.8975  As I    
   506.9090  Ti II   
   506.9123  W I     
   506.9143  Yb I    
   506.9308  Ti I    
   506.9370  C I     
   506.9422  Fe I    
   506.9473  Sm II   
   506.9595  Fe I    
   506.9872  Fe II   
   506.9997  Mn I    
   507.0023  Pr II   
   507.0033  V II    
   507.0081  Mo I    
   507.0172  Sc I    
   507.0189  Y I     
   507.0252  Zr I    
   507.0259  Sc I    
   507.0262  V II    
   507.0375  Sc I    
   507.0495  Ti I    
   507.0607  Cr II   
   507.0637  V I     
   507.0640  Fe I    
   507.0661  V I     
   507.0668  Dy I    
   507.0848  Co I    
   507.0869  Co II   
   507.0897  V II    
   507.0943  Si I    
   507.0961  Ti I    
   507.1010  Gd II   
   507.1165  V I     
   507.1174  Ca I    
   507.1201  Sm I    
   507.1391  Co I    
   507.1412  Mn I    
   507.1472  Ti I    
   507.1523  Ti I    
   507.1547  Ce I    
   507.1747  Ti I    
   507.1775  Ce I    
   507.1831  Mn I    
   507.1836  Mn II   
   507.1843  Ti I    
   507.1857  Nd I    
   507.1872  V I     
   507.2070  Fe II   
   507.2076  Fe I    
   507.2112  Cr I    
   507.2119  Ca I    
   507.2202  Ti II   
   507.2248  V I     
   507.2281  Ti II   
   507.2422  Tm I    
   507.2464  V I     
   507.2495  Mn I    
   507.2534  V I     
   507.2541  Mn I    
   507.2626  V I     
   507.2644  Mo I    
   507.2668  Fe I    
   507.2683  Mn I    
   507.2701  Sc I    
   507.2709  Cr II   
   507.2742  Mo I    
   507.2758  Cr I    
   507.2807  Ti I    
   507.2835  Mn I    
   507.2889  Os I    
   507.2917  Cr I    
   507.2974  Ru I    
   507.3000  Ti I    
   507.3022  Ti I    
   507.3101  Ca I    
   507.3136  Mn I    
   507.3218  Cr I    
   507.3221  V I     
   507.3381  Ti II   
   507.3417  Cr I    
   507.3435  V I     
   507.3562  Fe II   
   507.3602  C I     
   507.3692  Cr II   
   507.3720  Cr I    
   507.3726  Fe I    
   507.3734  Gd I    
   507.3860  C I     
   507.3903  Fe III  
   507.3975  Zr I    
   507.4053  Fe II   
   507.4117  V I     
   507.4117  Ti I    
   507.4142  C I     
   507.4223  Co II   
   507.4335  Yb I    
   507.4344  Fe II   
   507.4507  Nd I    
   507.4563  Ca I    
   507.4573  Cr I    
   507.4579  Mo I    
   507.4716  Ce I    
   507.4719  Fe I    
   507.4748  Fe I    
   507.4794  Os I    
   507.4833  Mn I    
   507.5005  Ca I    
   507.5119  Mn I    
   507.5153  V II    
   507.5169  Fe I    
   507.5176  Cr II   
   507.5263  Cr II   
   507.5292  Ni I    
   507.5348  V I     
   507.5355  Ce II   
   507.5356  Mn II   
   507.5426  Co I    
   507.5466  Th II   
   507.5567  Mn II   
   507.5670  V I     
   507.5683  V I     
   507.5725  Cr II   
   507.5758  V I     
   507.5804  Sc I    
   507.5834  Ti I    
   507.5897  Cr I    
   507.5995  Cr II   
   507.6034  Mn I    
   507.6125  Cu I    
   507.6147  Cr II   
   507.6166  Fe I    
   507.6262  Fe I    
   507.6297  Cr I    
   507.6317  Ru I    
   507.6327  Ni I    
   507.6363  Tm I    
   507.6379  Ta I    
   507.6485  Ce II   
   507.6549  Co I    
   507.6580  Nd II   
   507.6601  C I     
   507.6691  Sm I    
   507.6751  Yb I    
   507.6859  Co I    
   507.7003  V I     
   507.7011  Fe II   
   507.7034  Co I    
   507.7036  Mo I    
   507.7154  Nd II   
   507.7185  Tm I    
   507.7194  V I     
   507.7346  Fe I    
   507.7349  Ti II   
   507.7385  Nb I    
   507.7405  Co I    
   507.7411  V I     
   507.7503  Mo I    
   507.7668  Dy I    
   507.7686  Fe I    
   507.7766  V I     
   507.7805  U II    
   507.7854  Ce II   
   507.7939  Ti II   
   507.7962  C I     
   507.7967  C I     
   507.8004  Mn I    
   507.8104  Fe I    
   507.8140  Mn II   
   507.8313  Zr I    
   507.8528  Fe I    
   507.8576  C I     
   507.8911  Fe I    
   507.8951  Nb I    
   507.8972  Fe I    
   507.9028  Co I    
   507.9075  Nd I    
   507.9095  Os I    
   507.9193  Ti I    
   507.9209  Mo I    
   507.9224  Fe I    
   507.9351  V I     
   507.9383  P I     
   507.9412  Cr I    
   507.9474  Cr II   
   507.9629  Hf II   
   507.9682  Ce II   
   507.9695  Mo I    
   507.9739  Fe I    
   507.9743  V II    
   507.9782  Mo I    
   507.9864  Mo I    
   507.9955  Ni I    
   508.0012  Mo I    
   508.0035  Mn I    
   508.0163  Ti I    
   508.0171  La II   
   508.0184  Sc I    
   508.0300  Co I    
   508.0467  Ce I    
   508.0520  Er I    
   508.0528  Ni I    
   508.0750  V II    
   508.0792  Fe I    
   508.0847  Ti I    
   508.0910  Fe I    
   508.0913  Ca I    
   508.0943  Fe I    
   508.1107  Ni I    
   508.1251  Mo I    
   508.1376  Ti I    
   508.1407  Ti I    
   508.1502  Ti I    
   508.1509  Ni I    
   508.1571  Ca I    
   508.1574  Sc I    
   508.1610  Mn I    
   508.1697  V I     
   508.1821  Mn I    
   508.1829  V II    
   508.1864  Fe I    
   508.1902  Mn II   
   508.1989  Sc I    
   508.2014  Ca I    
   508.2119  Co I    
   508.2173  V I     
   508.2186  Ti II   
   508.2235  Ta I    
   508.2339  Ni I    
   508.2369  Co I    
   508.2509  Sc I    
   508.2667  Fe II   
   508.2686  Fe I    
   508.2720  Fe I    
   508.2754  Co I    
   508.2801  Gd I    
   508.2984  Cr II   
   508.3075  Ti II   
   508.3163  Co I    
   508.3338  Fe I    
   508.3400  Cr I    
   508.3418  Fe II   
   508.3524  Sc I    
   508.3547  Ce I    
   508.3561  Cr I    
   508.3659  Mn I    
   508.3684  As I    
   508.3731  Sc I    
   508.3736  Ti II   
   508.3840  Mn II   
   508.3910  Ti I    
   508.3934  Fe II   
   508.4089  Ni I    
   508.4170  Ce I    
   508.4230  K I     
   508.4463  Ce I    
   508.4506  Ni I    
   508.4543  V II    
   508.4546  Cr I    
   508.4546  Fe I    
   508.4668  Mo I    
   508.5040  Ti I    
   508.5068  Cr I    
   508.5082  Ti I    
   508.5093  Tm I    
   508.5101  Ti I    
   508.5201  Ti I    
   508.5221  V I     
   508.5226  Cr I    
   508.5228  Zr I    
   508.5315  Fe I    
   508.5330  Ni I    
   508.5345  Ti I    
   508.5391  V II    
   508.5474  Ni I    
   508.5495  Mn I    
   508.5539  Sc I    
   508.5539  V I     
   508.5653  Cr I    
   508.5658  Cr II   
   508.5677  Fe I    
   508.5712  Co I    
   508.5824  Cd I    
   508.5836  Ti I    
   508.5837  Fe I    
   508.5848  U II    
   508.5931  Fe I    
   508.5963  Co I    
   508.6116  V I     
   508.6183  Cr II   
   508.6201  Cr I    
   508.6230  Fe I    
   508.6328  V I     
   508.6533  V I     
   508.6602  Fe I    
   508.6693  Sc I    
   508.6701  Fe III  
   508.6830  V I     
   508.6830  Mn I    
   508.6839  Ti I    
   508.6869  V I     
   508.6885  Cr I    
   508.6939  Sc I    
   508.6988  Fe II   
   508.7040  Cr I    
   508.7055  Ti I    
   508.7073  Sm II   
   508.7099  V I     
   508.7107  Pr I    
   508.7136  Sc I    
   508.7156  Cr I    
   508.7211  Ti I    
   508.7215  Fe II   
   508.7286  Cr I    
   508.7286  Cr I    
   508.7314  Cr I    
   508.7371  Ta I    
   508.7416  Y II    
   508.7508  V II    
   508.7622  Sm II   
   508.7635  Cr I    
   508.7764  Mo I    
   508.7842  Sc I    
   508.7853  Co I    
   508.7868  Cr I    
   508.7879  V I     
   508.7897  Ca I    
   508.7972  Sc I    
   508.8078  Sc I    
   508.8083  Sc I    
   508.8091  V I     
   508.8151  Ti I    
   508.8166  Fe I    
   508.8202  Y I     
   508.8286  U I     
   508.8319  Sm I    
   508.8341  Ca I    
   508.8503  Cr I    
   508.8532  Ni I    
   508.8544  V I     
   508.8715  V I     
   508.8715  Mn I    
   508.8738  Cr I    
   508.8953  Ni I    
   508.8964  Sm II   
   508.8969  V I     
   508.9057  Co I    
   508.9169  Co I    
   508.9169  V I     
   508.9262  Cr I    
   508.9365  V I     
   508.9540  Ca I    
   508.9617  Ce I    
   508.9637  C I     
   508.9643  Mn I    
   508.9758  Ca I    
   508.9832  Nd II   
   508.9886  V I     
   508.9899  Sc I    
   509.0034  Ti II   
   509.0039  V I     
   509.0099  Sc II   
   509.0099  Sc II   
   509.0124  Ti I    
   509.0249  V II    
   509.0285  V II    
   509.0342  Cr II   
   509.0386  Cr II   
   509.0386  Dy II   
   509.0407  Cr II   
   509.0455  Fe I    
   509.0605  Mo I    
   509.0640  Rh I    
   509.0646  Ca I    
   509.0723  Co I    
   509.0729  Ta I    
   509.0767  Fe I    
   509.0773  Cr I    
   509.0791  Mn II   
   509.0831  Fe II   
   509.0864  Ti I    
   509.0873  Ti I    
   509.0885  Ce II   
   509.0916  Mo I    
   509.0971  Mo I    
   509.1006  Mn I    
   509.1032  Cr I    
   509.1107  V II    
   509.1123  Cr II   
   509.1286  Co I    
   509.1334  Mo I    
   509.1541  Ti I    
   509.1551  Mo I    
   509.1610  Ti II   
   509.1631  Cr I    
   509.1672  Cr I    
   509.1715  Fe I    
   509.1725  Fe I    
   509.1729  Fe I    
   509.1731  Ce I    
   509.1734  Ce I    
   509.1808  Ca I    
   509.1831  V I     
   509.1875  Cr I    
   509.1907  Ti I    
   509.2006  Ti I    
   509.2051  Ti I    
   509.2151  Mo I    
   509.2230  Cr I    
   509.2248  Mo I    
   509.2249  Gd II   
   509.2253  Ti I    
   509.2331  Co I    
   509.2450  Sc I    
   509.2637  V II    
   509.2681  Eu I    
   509.2691  Mo I    
   509.2754  Co I    
   509.2770  Cr I    
   509.2780  Mo I    
   509.2794  Nd II   
   509.2801  Sc I    
   509.2858  Ti II   
   509.2887  Si I    
   509.3011  Cr II   
   509.3045  Ti I    
   509.3078  Ca I    
   509.3195  Co I    
   509.3219  Fe I    
   509.3255  Mn II   
   509.3372  Ce I    
   509.3423  Cr I    
   509.3465  Fe II   
   509.3478  Sc I    
   509.3499  Fe II   
   509.3503  Ti I    
   509.3512  Cr I    
   509.3525  Mn II   
   509.3548  Co I    
   509.3647  Sc I    
   509.3652  Cr II   
   509.3750  Cr I    
   509.3800  Mn I    
   509.3800  Mn I    
   509.3831  Ru I    
   509.3851  Ti I    
   509.4016  Ti I    
   509.4130  Th I    
   509.4314  V I     
   509.4386  Cr I    
   509.4392  Nb I    
   509.4406  Ni I    
   509.4418  Co II   
   509.4454  Cr I    
   509.4610  Ti I    
   509.4942  Co I    
   509.4960  V II    
   509.4965  Fe I    
   509.4999  Co I    
   509.5020  V I     
   509.5068  Th I    
   509.5080  V I     
   509.5137  V II    
   509.5202  Mn II   
   509.5217  Ta I    
   509.5289  Fe I    
   509.5293  Nb I    
   509.5364  Fe I    
   509.5382  Ti I    
   509.5383  V II    
   509.5454  V I     
   509.5531  Cr II   
   509.5547  Cr I    
   509.5651  Cr I    
   509.5659  V I     
   509.5880  Mo I    
   509.5887  Co III  
   509.5987  Ti I    
   509.5991  Co III  
   509.6068  Gd II   
   509.6082  V I     
   509.6173  Fe I    
   509.6248  Ca II   
   509.6248  Ca II   
   509.6407  Fe I    
   509.6407  Cr II   
   509.6433  Eu I    
   509.6477  Cr II   
   509.6493  Re I    
   509.6516  Nd II   
   509.6630  Cr II   
   509.6637  Mo I    
   509.6713  Ca II   
   509.6716  Sc I    
   509.6742  Cr I    
   509.6836  Mn II   
   509.6854  Ni I    
   509.6998  Fe I    
   509.6999  Cr I    
   509.7049  Mn II   
   509.7062  Ti II   
   509.7171  K I     
   509.7202  Mn II   
   509.7259  Ce I    
   509.7270  Cr I    
   509.7293  Cr I    
   509.7311  Cr II   
   509.7351  Fe I    
   509.7407  Cr I    
   509.7429  Ti I    
   509.7467  Co II   
   509.7517  Mo I    
   509.7532  Co I    
   509.7706  V I     
   509.8021  Co I    
   509.8027  Mo I    
   509.8043  Th II   
   509.8114  V II    
   509.8120  Co II   
   509.8131  Ca I    
   509.8225  P I     
   509.8297  Ca I    
   509.8366  Gd II   
   509.8403  V I     
   509.8416  Sc I    
   509.8473  Cr I    
   509.8477  Fe I    
   509.8523  V I     
   509.8570  Fe I    
   509.8699  Fe I    
   509.8743  Ca I    
   509.8793  V I     
   509.8850  Cr I    
   509.8962  Cr I    
   509.8964  Fe I    
   509.9075  Fe I    
   509.9078  Ti I    
   509.9162  Cr I    
   509.9178  Mn II   
   509.9181  Sc I    
   509.9195  K I     
   509.9285  Sc I    
   509.9316  Ni I    
   509.9375  Ce I    
   509.9398  Fe II   
   509.9433  Sc I    
   509.9471  As I    
   509.9628  Fe I    
   509.9662  Co I    
   509.9667  Cr II   
   509.9732  V II    
   509.9781  Mn II   
   509.9789  Cl I    
   509.9841  Cr I    
   509.9901  Cr II   
   509.9927  Ni I    
   510.0031  Mn II   
   510.0070  Co I    
   510.0153  Nb I    
   510.0247  Fe II   
   510.0258  Sm II   
   510.0325  Mo I    
   510.0390  Sm I    
   510.0510  Cr II   
   510.0621  Th I    
   510.0664  Fe II   
   510.0677  Cr I    
   510.0729  Cr I    
   510.0822  Fe II   
   510.0835  Ti I    
   510.0852  Fe II   
   510.0895  Co I    
   510.0901  Fe I    
   510.0927  Gd II   
   510.0969  P I     
   510.1001  Ti I    
   510.1137  Sc I    
   510.1401  Ti I    
   510.1512  Cr I    
   510.1525  Mn I    
   510.1663  Cr II   
   510.1673  Cr I    
   510.1759  Cr I    
   510.1780  Ti II   
   510.1805  Fe II   
   510.1866  Cr I    
   510.1870  Ti I    
   510.2067  Mn II   
   510.2098  Mn II   
   510.2157  Mo I    
   510.2228  Ti II   
   510.2238  Fe I    
   510.2244  V I     
   510.2322  V I     
   510.2382  Ti I    
   510.2390  Nd II   
   510.2424  Fe I    
   510.2470  Mn I    
   510.2507  V II    
   510.2517  Mn II   
   510.2533  Cr I    
   510.2649  Fe I    
   510.2752  V II    
   510.2818  Fe I    
   510.2819  Cr I    
   510.2958  Ni I    
   510.3029  Ni I    
   510.3090  Sm II   
   510.3140  Co I    
   510.3160  Nd I    
   510.3317  Mn II   
   510.3444  As I    
   510.3457  Gd I    
   510.3475  Ti I    
   510.3499  Os I    
   510.3518  Ti I    
   510.3530  Cr I    
   510.3567  Ti II   
   510.3671  Ti II   
   510.3689  Cr II   
   510.3734  Ca I    
   510.3843  Fe I    
   510.3906  V I     
   510.3999  Cr II   
   510.4029  Fe I    
   510.4059  Mn I    
   510.4181  Ca I    
   510.4185  Fe I    
   510.4242  Cr I    
   510.4252  Ti II   
   510.4255  Cr II   
   510.4432  W II    
   510.4435  Ti I    
   510.4436  Fe I    
   510.4479  Sm II   
   510.4521  Sc I    
   510.4536  Mn I    
   510.4638  V I     
   510.4688  Mo I    
   510.4719  Co I    
   510.4812  Fe I    
   510.4828  V I     
   510.4865  Ti I    
   510.4979  Cr II   
   510.4998  Fe II   
   510.5133  Cr I    
   510.5226  Nd II   
   510.5537  Cu I    
   510.5540  Cr I    
   510.5613  Cr I    
   510.5631  Sc I    
   510.5662  Ti I    
   510.5707  V I     
   510.5789  Ca I    
   510.5826  Ti I    
   510.5889  Mn II   
   510.5910  Cr I    
   510.6061  V I     
   510.6090  V I     
   510.6223  V II    
   510.6236  La I    
   510.6254  Co II   
   510.6333  Cr II   
   510.6481  Mn II   
   510.6497  Cr I    
   510.6625  Fe I    
   510.6669  V I     
   510.6818  Cr II   
   510.7066  Ru I    
   510.7092  Mn II   
   510.7245  Fe II   
   510.7277  Ti I    
   510.7358  Sc I    
   510.7446  Fe I    
   510.7463  Fe II   
   510.7507  Mn II   
   510.7520  Al I    
   510.7533  Tm I    
   510.7575  Nd II   
   510.7641  Fe I    
   510.7682  Cr I    
   510.7768  V II    
   510.7918  Mo I    
   510.7943  Al I    
   510.7943  Ni I    
   510.7945  Ca I    
   510.7979  Co II   
   510.7995  V I     
   510.8083  Cr I    
   510.8125  Sc I    
   510.8125  Mn I    
   510.8130  Cr II   
   510.8172  Fe I    
   510.8295  Co I    
   510.8428  Ti I    
   510.8504  Mn II   
   510.8509  Cr I    
   510.8527  Cr I    
   510.8647  Mn I    
   510.8788  Cr I    
   510.8843  Ti II   
   510.8898  Co I    
   510.8903  Gd II   
   510.8911  Cr I    
   510.9062  Sc I    
   510.9083  Cr II   
   510.9378  Ta II   
   510.9436  Ti I    
   510.9470  Ti I    
   510.9489  Fe I    
   510.9556  V I     
   510.9625  P I     
   510.9650  Fe I    
   510.9708  Mo I    
   510.9727  Fe I    
   510.9775  Ni II   
   510.9777  Ti I    
   510.9783  Ta I    
   510.9945  Cr I    
   511.0050  V II    
   511.0264  Sc II   
   511.0324  Dy I    
   511.0353  W I     
   511.0357  Fe I    
   511.0365  Mo I    
   511.0371  Pr II   
   511.0413  Fe I    
   511.0436  Fe I    
   511.0512  Cr II   
   511.0750  Cr I    
   511.0760  Pr II   
   511.0794  Co I    
   511.0823  Os I    
   511.0841  Pd I    
   511.0864  Th II   
   511.0998  V I     
   511.1189  V I     
   511.1190  Ca I    
   511.1207  Cr I    
   511.1209  Ti I    
   511.1257  Ca I    
   511.1355  Fe I    
   511.1382  V I     
   511.1421  Ti I    
   511.1445  Fe I    
   511.1458  V II    
   511.1543  Ti I    
   511.1544  V I     
   511.1610  Ce I    
   511.1625  Ca I    
   511.1868  Mn II   
   511.1873  V I     
   511.1915  Cu I    
   511.1952  Ni I    
   511.2022  Ti II   
   511.2080  Cr II   
   511.2130  Hf I    
   511.2140  Co I    
   511.2212  K I     
   511.2246  K I     
   511.2294  Sm II   
   511.2297  Zr II   
   511.2446  Co II   
   511.2475  V II    
   511.2488  Cr I    
   511.2704  Ce I    
   511.2775  Fe I    
   511.2849  Sc I    
   511.2919  Cr I    
   511.2982  Cr II   
   511.3118  Cr I    
   511.3120  Co I    
   511.3220  Co I    
   511.3251  Fe I    
   511.3270  Sc II   
   511.3413  V I     
   511.3448  Ti I    
   511.3604  Ti I    
   511.3619  Ti I    
   511.3680  Cr II   
   511.3785  Cr II   
   511.3800  P I     
   511.3819  Cr I    
   511.3902  Ti I    
   511.3970  Tm I    
   511.4041  Cr I    
   511.4060  Sc I    
   511.4141  Cr II   
   511.4175  Ti I    
   511.4188  Mn II   
   511.4354  Fe I    
   511.4370  Eu I    
   511.4376  V I     
   511.4468  Cr I    
   511.4518  Fe I    
   511.4546  Tm II   
   511.4559  La II   
   511.4627  Fe III  
   511.4862  Fe I    
   511.4966  Mo I    
   511.4968  Ca I    
   511.5001  V I     
   511.5020  Cr I    
   511.5045  Th I    
   511.5232  Ti II   
   511.5234  V II    
   511.5236  Ce I    
   511.5243  Ce I    
   511.5268  Zr I    
   511.5385  Ti I    
   511.5389  Ni I    
   511.5407  Co I    
   511.5417  Ca I    
   511.5636  Mo I    
   511.5638  Ca I    
   511.5643  Ce I    
   511.5776  Fe I    
   511.5817  Ca I    
   511.6043  Fe I    
   511.6049  Cr II   
   511.6122  Ni I    
   511.6132  Cr I    
   511.6167  Ti I    
   511.6248  Cr II   
   511.6308  Ti I    
   511.6316  Cr II   
   511.6418  Cr I    
   511.6490  Fe I    
   511.6495  Ti I    
   511.6528  Co I    
   511.6546  Cr I    
   511.6554  Ti II   
   511.6619  Fe I    
   511.6630  V I     
   511.6653  Sc I    
   511.6690  Sm II   
   511.6701  Cr I    
   511.6763  Sc I    
   511.6807  Ca I    
   511.6873  Ti II   
   511.6876  Cr I    
   511.6945  Fe I    
   511.6955  Mo I    
   511.7057  Pd I    
   511.7144  Mo I    
   511.7159  Sm I    
   511.7164  V I     
   511.7169  Ce II   
   511.7180  Ta I    
   511.7238  U II    
   511.7292  V I     
   511.7408  Cr II   
   511.7421  Cr I    
   511.7484  Sc I    
   511.7607  Cr I    
   511.7651  Sc I    
   511.7664  Ti II   
   511.7664  V II    
   511.7905  Mn I    
   511.7934  Mn I    
   511.7946  Ce II   
   511.8031  Pr II   
   511.8047  Co I    
   511.8170  V I     
   511.8170  Mn II   
   511.8254  Ti II   
   511.8456  Cr I    
   511.8500  Cr II   
   511.8501  Fe II   
   511.8559  Ti I    
   511.8668  V II    
   511.8741  Cr I    
   511.8753  Ti I    
   511.8885  Ce I    
   511.8886  V I     
   511.8907  Sc I    
   511.8941  Cr I    
   511.8943  Fe I    
   511.9112  Y II    
   511.9190  V I     
   511.9217  Mo I    
   511.9292  V I     
   511.9300  Cr I    
   511.9336  Sc I    
   511.9336  Mn II   
   511.9457  Ce I    
   511.9457  Ce I    
   511.9462  Cr I    
   511.9512  Ce I    
   511.9621  Nd II   
   511.9871  Cr II   
   511.9901  Fe I    
   511.9908  Sc II   
   511.9908  Sc II   
   511.9977  Ti I    
   512.0002  V I     
   512.0036  Dy I    
   512.0084  V I     
   512.0162  Ti I    
   512.0165  Co II   
   512.0223  Cr I    
   512.0291  Nb I    
   512.0320  Ca I    
   512.0322  Re I    
   512.0352  Fe II   
   512.0422  Ti I    
   512.0435  Zr I    
   512.0611  Cr I    
   512.0669  Tm I    
   512.0679  Rh I    
   512.0782  Ce I    
   512.0868  La I    
   512.0894  Fe I    
   512.0933  Co II   
   512.0936  Sc I    
   512.0947  Fe I    
   512.1015  Cr II   
   512.1072  Cr I    
   512.1078  Cr II   
   512.1222  As I    
   512.1299  Ti I    
   512.1334  Nd II   
   512.1358  Ce I    
   512.1395  V I     
   512.1426  Ca I    
   512.1557  Ni I    
   512.1618  Ti II   
   512.1641  Fe I    
   512.1762  Cr I    
   512.1766  Mo I    
   512.1791  Ni II   
   512.1799  Nb I    
   512.1964  Fe I    
   512.2022  Sc I    
   512.2080  Cr I    
   512.2102  Ti I    
   512.2138  Sm I    
   512.2174  Ni II   
   512.2237  Os I    
   512.2335  V I     
   512.2392  Ce I    
   512.2481  P I     
   512.2573  Cr I    
   512.2702  V I     
   512.2757  V I     
   512.2768  Co I    
   512.2797  Cr I    
   512.2856  Ti I    
   512.2978  V II    
   512.2988  La II   
   512.3188  Fe II   
   512.3211  Y II    
   512.3249  Fe I    
   512.3264  Fe I    
   512.3279  Fe I    
   512.3306  Ti II   
   512.3327  Mn II   
   512.3393  Co I    
   512.3450  Cr I    
   512.3456  Mn I    
   512.3456  Mn I    
   512.3458  V I     
   512.3540  Mn II   
   512.3655  Gd II   
   512.3658  Ir I    
   512.3719  Fe I    
   512.3758  Ru I    
   512.3779  Nd II   
   512.3820  Mo I    
   512.3853  Ti I    
   512.4054  Fe II   
   512.4077  Ti I    
   512.4168  Fe I    
   512.4214  Co II   
   512.4233  W I     
   512.4281  Fe I    
   512.4314  Ti I    
   512.4377  Sc I    
   512.4380  Mn I    
   512.4557  Mo I    
   512.4561  Er I    
   512.4602  Fe I    
   512.4666  Ti II   
   512.4693  Co I    
   512.4729  Co I    
   512.4754  Fe II   
   512.4771  Eu I    
   512.4800  Co I    
   512.4842  Sm II   
   512.4859  Si I    
   512.4982  Zr II   
   512.5009  Ce I    
   512.5068  V II    
   512.5112  Fe I    
   512.5121  Co I    
   512.5129  V I     
   512.5173  Ti I    
   512.5201  Ti I    
   512.5228  Ni I    
   512.5244  Fe II   
   512.5515  Ti I    
   512.5555  Gd II   
   512.5601  Si I    
   512.5602  Mn I    
   512.5620  V I     
   512.5709  Co I    
   512.5791  Co I    
   512.5836  Fe I    
   512.5917  Fe II   
   512.6077  Co II   
   512.6144  Fe I    
   512.6192  Fe I    
   512.6197  Fe II   
   512.6198  Co I    
   512.6214  Ti II   
   512.6217  Cr I    
   512.6298  Ti II   
   512.6556  Cr I    
   512.6572  V I     
   512.6580  Fe I    
   512.6704  Mo I    
   512.6806  Co I    
   512.6821  Ni I    
   512.6841  Fe II   
   512.6934  Cr II   
   512.7088  Ti I    
   512.7232  V I     
   512.7250  Ru I    
   512.7358  Fe I    
   512.7370  Ti I    
   512.7387  Fe III  
   512.7403  Er II   
   512.7456  Ca I    
   512.7629  Cr I    
   512.7631  Fe III  
   512.7652  Nb I    
   512.7681  Fe I    
   512.7739  Co I    
   512.7810  Co II   
   512.7852  Cr I    
   512.7853  Mo I    
   512.7866  Fe II   
   512.7868  Cr I    
   512.7926  Cr I    
   512.7933  Ce I    
   512.7955  Cr II   
   512.7989  Co II   
   512.8024  Ce I    
   512.8034  Si I    
   512.8041  Ca I    
   512.8082  Ni I    
   512.8134  V I     
   512.8147  Cr II   
   512.8302  Mn II   
   512.8324  Ca I    
   512.8446  Mo I    
   512.8494  V I     
   512.8505  Hf II   
   512.8775  Ca I    
   512.9091  Eu I    
   512.9152  Ti II   
   512.9176  Cr II   
   512.9370  Ni I    
   512.9373  Mn I    
   512.9433  Cr I    
   512.9499  Mn II   
   512.9533  Pr II   
   512.9573  Cr I    
   512.9573  Sc II   
   512.9630  Fe I    
   512.9676  Cr II   
   512.9750  Fe II   
   512.9797  Sc I    
   513.0002  Mn I    
   513.0047  Cr I    
   513.0089  Eu I    
   513.0115  W I     
   513.0147  Cr II   
   513.0239  Cr I    
   513.0271  Gd II   
   513.0310  Sc I    
   513.0359  Ni I    
   513.0452  Cr I    
   513.0529  V I     
   513.0558  Mn I    
   513.0586  Nd II   
   513.0686  As I    
   513.0763  Rh I    
   513.0766  Co I    
   513.0907  Fe I    
   513.1003  Co I    
   513.1042  V I     
   513.1072  Th II   
   513.1160  Ti I    
   513.1210  Fe II   
   513.1308  Ti II   
   513.1308  Co I    
   513.1463  Cr I    
   513.1470  Fe I    
   513.1471  Fe I    
   513.1474  Mn II   
   513.1482  Cr I    
   513.1508  C I     
   513.1528  Er I    
   513.1711  V I     
   513.1766  Ni I    
   513.1808  W II    
   513.1862  Ca I    
   513.1903  C I     
   513.1989  P I     
   513.2087  Ti I    
   513.2148  V II    
   513.2193  Mn II   
   513.2212  Sm I    
   513.2313  Ca I    
   513.2328  Nd II   
   513.2391  Cr I    
   513.2494  Ti I    
   513.2525  Sc II   
   513.2669  Fe II   
   513.2785  Ti I    
   513.2921  Ti I    
   513.2926  Ti I    
   513.3039  Sc I    
   513.3134  Cr II   
   513.3150  Cr I    
   513.3215  Fe I    
   513.3290  C I     
   513.3329  Nb I    
   513.3368  Co I    
   513.3395  Zr I    
   513.3424  Pr I    
   513.3466  Co I    
   513.3482  Eu I    
   513.3629  Ti II   
   513.3681  Fe I    
   513.3689  Ti I    
   513.3833  Er II   
   513.3897  Ca I    
   513.3898  Ru I    
   513.3959  C I     
   513.4033  Lu I    
   513.4209  V I     
   513.4385  Fe II   
   513.4449  Ce I    
   513.4558  Co I    
   513.4584  V I     
   513.4646  Fe I    
   513.4721  Cr II   
   513.4737  Nb I    
   513.4903  Sc I    
   513.4959  Mo I    
   513.5019  Dy I    
   513.5049  Ti I    
   513.5082  Lu I    
   513.5098  Mn I    
   513.5111  V I     
   513.5130  Cr I    
   513.5140  Pr II   
   513.5199  Y I     
   513.5324  Ce I    
