   line             element
   5014.21          N II     
   5014.28          Ar I     
   5014.366         Ca III   
   5014.472         Ni II    
   5014.499         Ca III   
   5014.532         S II     
   5014.542         O II     
   5014.620         Ni II    
   5014.73          Ar I     
   5014.8396        Fe I     
   5014.9425        Fe I     
   5015.118         O II     
   5015.16          Ar I     
   5015.184         Ne I     
   5015.194         Ne II    
   5015.3151        Fe I     
   5015.338         Ca I     
   5015.339         O II     
   5015.36          N III    
   5015.387         O II     
   5015.48          Ar I     
   5015.519         Ca I     
   5015.521         Fe II    
   5015.546         Ne II    
   5015.61          Ar I     
   5015.62340       Ar II    
   5015.626         O II     
   5015.6776        He I     
   5015.755         Fe II    
   5015.863         Ni II    
   5015.950         Ca I     
   5016.019         Ni II    
   5016.0318        Fe I     
   5016.082         C II     
   5016.09          Ar I     
   5016.14          Mg IV    
   5016.23          Ar I     
   5016.233         C II     
   5016.381         N II     
   5016.43456       Ar II    
   5016.4775        Fe I     
   5016.538         Ca I     
   5016.59          C IV     
   5016.62          Ar I     
   5016.7           Ca I     
   5016.90837       Ar II    
   5016.969         Ca I     
   5017.0           Ca I     
   5017.115         Ca I     
   5017.16261       Ar II    
   5017.17          Ar I     
   5017.179         Ca III   
   5017.253         Ar I     
   5017.3           Ca I     
   5017.454         Ar I     
   5017.5760        Ni I     
   5017.59          Ar I     
   5017.62          Ar I     
   5017.723         Ni II    
   5017.73          Ar I     
   5017.786         Ni II    
   5018.0           S I      
   5018.0           S I      
   5018.000         Ni II    
   5018.021         Ar I     
   5018.0271        Fe I     
   5018.2815        Ni I     
   5018.2997        Fe I     
   5018.35          C IV     
   5018.39          O II     
   5018.41          Ar I     
   5018.4130        Fe I     
   5018.4405        Fe II    
   5018.50          Ar I     
   5018.669         Fe II    
   5018.7821        O I      
   5018.958         Ca III   
   5019.            Al V     
   5019.04          Ar I     
   5019.164         Ni II    
   5019.1691        Fe I     
   5019.236         Ca I     
   5019.29          Mg IV    
   5019.2914        O I      
   5019.3637        Ni I     
   5019.37          Ar I     
   5019.399         Ca I     
