2000.0 1.804 1.8
2001.8 1.769 2.0
2003.8 1.738 1.8
2005.6 1.764 1.8
2007.4 1.756 2.0
2009.4 1.727 1.8
2011.2 1.73 2.0
2013.2 1.77 1.8
2015.0 1.76 1.8
2016.8 1.77 2.0
2018.8 1.732 1.8
2020.6 1.73 1.8
2022.4 1.698 2.0
2024.4 1.723 1.8
2026.2 1.738 1.8
2028.0 1.732 2.0
2030.0 1.727 1.8
2031.8 1.715 1.8
2033.6 1.745 2.0
2035.6 1.766 1.8
2037.4 1.797 1.8
2039.2 1.755 2.0
2041.2 1.725 1.8
2043.0 1.735 1.8
2044.8 1.754 2.0
2046.8 1.766 1.8
2048.6 1.749 1.8
2050.4 1.735 2.0
2052.4 1.74 1.8
2054.2 1.74 1.8
2056.0 1.746 2.0
2058.0 1.752 1.8
2059.8 1.754 2.0
2061.8 1.755 1.8
2063.6 1.723 1.8
2065.4 1.735 2.0
2067.4 1.729 1.8
2069.2 1.744 1.8
2071.0 1.728 2.0
2073.0 1.75 1.8
2074.8 1.742 1.8
2076.6 1.754 2.0
2078.6 1.772 1.8
2080.4 1.747 1.8
2082.2 1.728 2.0
2084.2 1.744 1.8
2086.0 1.757 1.8
2087.8 1.721 2.0
2089.8 1.714 1.8
2091.6 1.703 1.8
2093.4 1.716 2.0
2095.4 1.709 1.8
2097.2 1.726 1.8
2099.0 1.719 2.0
2101.0 1.723 1.8
2102.8 1.758 2.0
2104.8 1.742 1.8
2106.6 1.73 1.8
2108.4 1.723 2.0
2110.4 1.727 1.8
2112.2 1.719 1.8
2114.0 1.721 2.0
2116.0 1.709 1.8
2117.8 1.769 1.8
2119.6 1.768 2.0
2121.6 1.786 1.8
2123.4 1.709 1.8
2125.2 1.72 2.0
2127.2 1.705 1.8
2129.0 1.698 1.8
2130.8 1.678 2.0
2132.8 1.656 1.8
2134.6 1.711 1.8
2136.4 1.715 2.0
2138.4 1.71 1.8
2140.2 1.722 1.8
2142.0 1.737 2.0
2144.0 1.728 1.8
2145.8 1.734 1.8
2147.6 1.747 2.0
2149.6 1.736 1.8
2151.4 1.78 2.0
2153.4 1.763 1.8
2155.2 1.723 1.8
2157.0 1.686 2.0
2159.0 1.734 1.8
2160.8 1.755 1.8
2162.6 1.748 2.0
2164.6 1.734 1.8
2166.4 1.732 1.8
2168.2 1.765 2.0
2170.2 1.749 1.8
2172.0 1.765 1.8
