w fl
3013.7167142 48520000.0
3013.7468515 48420000.0
3013.7769891 48290000.0
3013.807127 48180000.0
3013.8372652 48090000.0
3013.8674037 48030000.0
3013.8975425 47980000.0
3013.9276816 47950000.0
3013.957821 47930000.0
3013.9879607 47920000.0
3014.0181007 47930000.0
3014.048241 47950000.0
3014.0783816 47990000.0
3014.1085225 48040000.0
3014.1386637 48110000.0
3014.1688052 48200000.0
3014.198947 48310000.0
3014.2290891 48430000.0
3014.2592315 48500000.0
3014.2893742 48530000.0
3014.3195172 48520000.0
3014.3496606 48500000.0
3014.3798042 48480000.0
3014.4099481 48450000.0
3014.4400923 48410000.0
3014.4702368 48370000.0
3014.5003817 48330000.0
3014.5305268 48300000.0
3014.5606722 48290000.0
3014.5908179 48270000.0
3014.620964 48260000.0
3014.6511103 48260000.0
3014.6812569 48270000.0
3014.7114039 48290000.0
3014.7415511 48310000.0
3014.7716986 48340000.0
3014.8018465 48370000.0
3014.8319946 48410000.0
3014.8621431 48450000.0
3014.8922918 48490000.0
3014.9224408 48520000.0
3014.9525902 48540000.0
3014.9827398 48550000.0
3015.0128898 48550000.0
3015.04304 48540000.0
3015.0731906 48540000.0
3015.1033414 48540000.0
3015.1334926 48540000.0
3015.163644 48540000.0
3015.1937958 48540000.0
3015.2239479 48550000.0
3015.2541002 48560000.0
3015.2842529 48570000.0
3015.3144058 48570000.0
3015.3445591 48560000.0
3015.3747127 48540000.0
3015.4048665 48480000.0
3015.4350207 48340000.0
3015.4651752 48140000.0
3015.4953299 47910000.0
3015.525485 47690000.0
3015.5556404 47480000.0
3015.5857961 47290000.0
3015.6159521 47150000.0
3015.6461083 47040000.0
3015.6762649 46980000.0
3015.7064218 46950000.0
3015.736579 46950000.0
3015.7667365 47000000.0
3015.7968943 47070000.0
3015.8270523 47190000.0
3015.8572107 47340000.0
3015.8873694 47540000.0
3015.9175284 47760000.0
3015.9476877 47980000.0
3015.9778473 48150000.0
3016.0080072 48250000.0
3016.0381674 48330000.0
3016.0683279 48330000.0
3016.0984887 48180000.0
3016.1286498 47770000.0
3016.1588112 47120000.0
3016.1889729 46410000.0
3016.219135 45770000.0
3016.2492973 45270000.0
3016.2794599 44900000.0
3016.3096228 44650000.0
3016.339786 44490000.0
3016.3699495 44420000.0
3016.4001134 44450000.0
3016.4302775 44570000.0
3016.4604419 44800000.0
3016.4906066 45130000.0
3016.5207717 45590000.0
3016.550937 46150000.0
3016.5811026 46810000.0
3016.6112685 47460000.0
3016.6414348 47920000.0
3016.6716013 48120000.0
3016.7017681 48140000.0
3016.7319353 48100000.0
3016.7621027 47990000.0
3016.7922705 47790000.0
3016.8224385 47530000.0
3016.8526069 47270000.0
3016.8827755 47060000.0
3016.9129445 46920000.0
3016.9431137 46820000.0
3016.9732833 46780000.0
