      wl    A1  A2  A3
      #microns
       2.5153795      0.85265032      0.85265032      0.85265032
       2.5731486      0.84021840      0.84021840      0.84021840
       2.6322445      0.82750096      0.82750096      0.82750096
       2.6926976      0.81449145      0.81449145      0.81449145
       2.7545392      0.80118315      0.80118315      0.80118315
       2.8178009      0.78756922      0.78756922      0.78756922
       2.8825156      0.77364262      0.77364262      0.77364262
       2.9487166      0.75939617      0.75939617      0.75939617
       3.0164379      0.74482254      0.74482254      0.74482254
       3.0857146      0.72991421      0.72991421      0.72991421
       3.1565823      0.71466348      0.71466348      0.71466348
       3.2290775      0.69906250      0.69906250      0.69906250
       3.3032377      0.68310322      0.68310322      0.68310322
       3.3791012      0.66677742      0.66677742      0.66677742
       3.4567069      0.65007667      0.65007667      0.65007667
       3.5360949      0.63299236      0.63299236      0.63299236
       3.6173062      0.62243749      0.62243749      0.62243749
       3.7003826      0.61310306      0.61310306      0.61310306
       3.7853670      0.60355425      0.60355425      0.60355425
       3.8723032      0.59378614      0.59378614      0.59378614
       3.9612360      0.58379370      0.58379370      0.58379370
       4.0522112      0.57357176      0.57357176      0.57357176
       4.1452758      0.56311506      0.56311506      0.56311506
       4.2404778      0.55241820      0.55241820      0.55241820
       4.3378662      0.54147568      0.54147568      0.54147568
       4.4374913      0.53028185      0.53028185      0.53028185
       4.5394044      0.51449289      0.51449289      0.52456587
       4.6436581      0.49822932      0.49822932      0.51886667
       4.7503061      0.48159223      0.48159223      0.51303658
       4.8594034      0.46457305      0.46457305      0.50707260
       4.9710063      0.44716300      0.44716300      0.50097164
       5.0851724      0.42935311      0.42935311      0.49473057
       5.2019603      0.41180395      0.41180395      0.48820263
       5.3214305      0.40323798      0.40323798      0.48023797
       5.4436445      0.39509036      0.39509036      0.47209035
       5.5686653      0.38675566      0.38675566      0.47097742
       5.6965574      0.37922950      0.37922950      0.47168847
       5.8273867      0.37175378      0.37175378      0.48098487
       5.9612207      0.36358529      0.36358529      0.49229265
       6.0981283      0.35445811      0.35445811      0.49203929
       6.2381803      0.34639398      0.34639398      0.46339398
       6.3814487      0.33861837      0.33861837      0.46332863
       6.5280074      0.33273309      0.33273309      0.44579705
       6.6779321      0.32773560      0.32773560      0.45528807
       6.8313000      0.32062334      0.32062334      0.46102665
       6.9881903      0.31639366      0.31639366      0.45281903
       7.1486837      0.31299999      0.31299999      0.42461431
       7.3128631      0.31785754      0.31785754      0.42342877
       7.4808130      0.33008132      0.33008132      0.42669376
       7.6526202      0.34868272      0.34868272      0.44105169
       7.8283732      0.37339551      0.37339551      0.45669775
       8.0081626      0.40281626      0.40281626      0.47168020
       8.1920811      0.42320808      0.42320808      0.48820808
       8.3802235      0.43902237      0.43902237      0.51203356
       8.5726869      0.46390300      0.46390300      0.54608210
       8.7695705      0.50057365      0.50057365      0.58889265
       8.9709758      0.55634142      0.55634142      0.63819511
       9.1770066      0.63280271      0.63280271      0.67650112
       9.3877692      0.69959095      0.69959095      0.70670253
       9.6033723      0.70844379      0.70844379      0.72111243
       9.8239269      0.68644678      0.68644678      0.71137522
       10.049547      0.65156798      0.65156798      0.68521957
       10.280349      0.61327524      0.61327524      0.66296514
       10.516451      0.56870974      0.56870974      0.63774735
       10.757976      0.52303773      0.52303773      0.61056947
       11.005048      0.48049211      0.48049211      0.58449527
       11.257794      0.44662755      0.44662755      0.56022068
       11.516344      0.42036557      0.42036557      0.53847129
       11.780833      0.39391671      0.39391671      0.51994448
       12.051396      0.36486040      0.36486040      0.50493019
       12.328173      0.33818270      0.33818270      0.49272757
       12.611307      0.31624624      0.31624624      0.48462313
       12.900943      0.29795285      0.29795285      0.47698428
       13.197231      0.28313845      0.28313845      0.47104614
       13.500323      0.27299461      0.27299461      0.46599460
       13.810377      0.26699999      0.26699999      0.46199374
       14.127551      0.26499999      0.26499999      0.45914030
       14.452010      0.26600000      0.26600000      0.46152513
       14.783920      0.27042401      0.27042401      0.47212001
       15.123453      0.27783634      0.27783634      0.55652696
